"ZUPANIJA_MBR";"GROP_MBR";"GROP_NAZIV";"GROP_VRSTA";"NASELJE_MBR";"NASELJE_NAZIV";"ULICA_MBR";"ULICA_NAZIV"
"14";"6149";"ŠODOLOVCI";"2";"19";"ADA";"190003";"4.JULI"
"14";"6149";"ŠODOLOVCI";"2";"19";"ADA";"190001";"BOSANSKA"
"14";"6149";"ŠODOLOVCI";"2";"19";"ADA";"190002";"GLAVNA"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270002";"Antolkovići"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270003";"Barberići"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270036";"Bastalićeva ulica II."
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270004";"Beštaki"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270005";"Blažerova ulica"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270006";"Črešnjevečka ulica"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270007";"Črešnjevečki odvojak"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270029";"Filipčićev put"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270025";"Hermešćeci odvojak"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270030";"Hrušćinje"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270018";"Jesenovečka cesta"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270009";"Keleminovići"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270011";"Livadarska ulica"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270027";"Mokrička ulica"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270028";"Mokrički odvojak"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270026";"Paunići odvojak"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270024";"Prigorska ulica"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270013";"Šoštarići"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270014";"Trumbetašići"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270015";"Turčinov put"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270008";"Ulica Dragutina M. Domjanića"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270010";"Ulica kneza Adama"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270012";"Ulica Matije Gupca"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270031";"Vinska cesta"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270034";"Vinska cesta III. odvojak"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270033";"Vinska cesta II. odvojak"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270032";"Vinska cesta I. odvojak"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270035";"Vinska cesta IV. odvojak"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270016";"Vukekova ulica"
"21";"1333";"GRAD ZAGREB";"1";"27";"ADAMOVEC";"270017";"Zenki"
"12";"3727";"REŠETARI";"2";"35";"ADŽAMOVCI";"350007";"ANTE STARČEVIĆA"
"12";"3727";"REŠETARI";"2";"35";"ADŽAMOVCI";"350002";"BANA JOSIPA JELAČIĆA"
"12";"3727";"REŠETARI";"2";"35";"ADŽAMOVCI";"350003";"FRANKOPANSKA"
"12";"3727";"REŠETARI";"2";"35";"ADŽAMOVCI";"350005";"KRALJA TOMISLAVA"
"12";"3727";"REŠETARI";"2";"35";"ADŽAMOVCI";"350004";"MATIJE GUPCA"
"12";"3727";"REŠETARI";"2";"35";"ADŽAMOVCI";"350006";"STJEPANA RADIĆA"
"12";"3727";"REŠETARI";"2";"35";"ADŽAMOVCI";"350009";"SVETOG VALENTINA"
"11";"3514";"POŽEGA";"1";"43";"ALAGINCI";"430001";"ALAGINCI"
"9";"3875";"SENJ";"1";"51";"ALAN";"510001";"ALAN"
"9";"1309";"GOSPIĆ";"1";"86";"ALEKSINICA";"860001";"ALEKSINICA"
"11";"1775";"KAPTOL";"2";"94";"ALILOVCI";"940001";"ALILOVCI"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080035";"DOLICA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080014";"DUNAVSKA OBALA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080033";"HRVATSKIH MUČENIKA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080034";"IVANA ČESMIČKOG"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080038";"KALVARIJA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080040";"LIPIN DOL"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080032";"MARIJANA MATIJAŠEVIĆA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080002";"MATIJE GUPCA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080037";"MLADENA PALINKAŠA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080020";"NOVA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080003";"PODUNAVLJE"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080016";"RUDINA BALINAC"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080017";"RUDINA BULIĆEV DOL"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080010";"RUDINA CRKVINA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080018";"RUDINA ČAUŠEVAC"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080028";"RUDINA ČVORKOVAC"
